contact_id,event_topic,event_format,event_price,booked
C0016,SAP S/4HANA,Workshop,650,0
C0016,Finance,E-Learning,490,1
C0016,Finance,Congress,790,0
C0016,HR Management,Seminar,790,0
C0017,Marketing,Congress,1100,0
C0018,HR Management,Seminar,1100,1
C0018,Project Management,Workshop,299,0
C0018,Leadership,Workshop,650,0
C0018,SAP S/4HANA,E-Learning,1290,0
C0018,SAP S/4HANA,Workshop,650,0
C0018,Legal & Compliance,E-Learning,790,0
C0018,SAP S/4HANA,Workshop,790,0
C0018,Legal & Compliance,Seminar,890,0
C0021,Project Management,Congress,490,0
C0021,Marketing,E-Learning,1490,1
C0021,Marketing,Seminar,790,0
C0021,Marketing,Seminar,1100,0
C0021,HR Management,E-Learning,890,1
C0021,Marketing,Congress,1290,0
C0021,Finance,Workshop,1290,0
C0021,Marketing,E-Learning,1100,0
C0022,Marketing,Seminar,490,0
C0022,Project Management,Workshop,650,0
C0022,Finance,Workshop,990,0
C0022,Legal & Compliance,E-Learning,990,0
C0022,Finance,Workshop,890,0
C0022,Legal & Compliance,Seminar,1490,0
C0022,IT & Digitalisation,Congress,490,0
C0022,HR Management,Congress,790,0
C0022,Logistics,Congress,790,0
C0023,Legal & Compliance,E-Learning,990,0
C0024,Project Management,E-Learning,490,0
C0024,Finance,Workshop,1100,1
C0024,Leadership,Congress,490,0
C0024,Logistics,Seminar,299,0
C0025,Leadership,E-Learning,299,1
C0025,Legal & Compliance,Seminar,1100,0
C0025,Legal & Compliance,Congress,1100,0
C0025,SAP S/4HANA,E-Learning,1490,0
C0025,Legal & Compliance,Workshop,890,0
C0026,Legal & Compliance,Congress,1290,0
C0026,IT & Digitalisation,Seminar,1290,0
C0026,Project Management,Workshop,790,0
C0026,Finance,E-Learning,890,0
C0026,SAP S/4HANA,Seminar,1490,0
C0026,Leadership,Congress,1100,0
C0026,SAP S/4HANA,Congress,1290,0
C0026,Legal & Compliance,Seminar,490,0
C0026,Supply Chain,Workshop,790,0
C0027,SAP S/4HANA,E-Learning,1100,0
C0027,IT & Digitalisation,Workshop,890,0
C0027,Finance,Congress,490,0
C0027,IT & Digitalisation,Seminar,1490,0
C0027,Supply Chain,Congress,1290,0
C0027,Logistics,E-Learning,490,0
C0027,Finance,Congress,990,0
C0027,Finance,Seminar,1490,0
C0027,Finance,Seminar,299,0
C0027,Project Management,Workshop,490,0
C0028,Legal & Compliance,Workshop,990,0
C0028,HR Management,E-Learning,1290,0
C0028,Leadership,Workshop,1290,0
C0029,Project Management,E-Learning,490,0
C0029,Leadership,Workshop,790,0
C0029,Legal & Compliance,Workshop,890,0
C0029,Finance,Seminar,490,1
C0029,Supply Chain,E-Learning,490,0
C0029,Supply Chain,Congress,1490,0
C0030,Legal & Compliance,Workshop,890,0
C0030,Supply Chain,E-Learning,890,0
C0031,Logistics,Congress,1100,0
C0031,SAP S/4HANA,Congress,650,0
C0031,Project Management,Seminar,299,0
C0031,Finance,E-Learning,1290,0
C0031,Legal & Compliance,E-Learning,1100,0
C0031,SAP S/4HANA,Workshop,1290,0
C0031,Logistics,Seminar,1100,0
C0031,Logistics,E-Learning,299,0
C0032,Finance,Seminar,650,0
C0032,SAP S/4HANA,Workshop,890,0
C0033,Leadership,Workshop,990,0
C0033,IT & Digitalisation,E-Learning,490,0
C0033,IT & Digitalisation,Workshop,1290,0
C0033,Marketing,Seminar,1290,0
C0033,IT & Digitalisation,E-Learning,990,0
C0033,Marketing,Seminar,1490,0
C0033,Marketing,Seminar,790,0
C0034,HR Management,Congress,890,0
C0034,Finance,Workshop,1290,1
C0034,HR Management,Congress,650,0
C0034,SAP S/4HANA,Seminar,1490,0
C0034,Leadership,Congress,490,0
C0034,Leadership,Congress,1290,0
C0034,SAP S/4HANA,E-Learning,1100,0
C0034,Legal & Compliance,Congress,1290,0
C0036,IT & Digitalisation,E-Learning,299,0
C0036,Finance,Workshop,650,0
C0036,SAP S/4HANA,Workshop,990,0
C0036,SAP S/4HANA,Workshop,1290,0
C0038,IT & Digitalisation,Workshop,1100,0
C0038,Project Management,Workshop,299,0
C0038,SAP S/4HANA,E-Learning,490,0
C0038,Leadership,Workshop,299,0
C0038,Marketing,Congress,490,0
C0038,Finance,E-Learning,1100,0
C0038,IT & Digitalisation,Workshop,990,0
C0038,SAP S/4HANA,Seminar,490,0
C0038,Finance,Congress,490,0
C0038,Leadership,Seminar,1290,0
C0038,Finance,Seminar,299,0
C0040,Supply Chain,Workshop,650,0
C0040,Project Management,Seminar,1100,0
C0040,Legal & Compliance,Congress,790,0
C0040,Finance,Workshop,890,0
C0042,Logistics,E-Learning,1100,0
C0042,Legal & Compliance,E-Learning,790,0
C0042,Legal & Compliance,Seminar,790,0
C0042,Logistics,E-Learning,890,0
C0042,HR Management,Workshop,890,1
C0042,Logistics,Seminar,1290,0
C0042,Supply Chain,E-Learning,790,0
C0042,Logistics,E-Learning,650,0
C0042,HR Management,E-Learning,1290,0
C0042,Logistics,E-Learning,650,0
C0042,Finance,E-Learning,1100,0
C0043,SAP S/4HANA,E-Learning,650,0
C0043,Legal & Compliance,E-Learning,990,0
C0043,Legal & Compliance,Seminar,650,0
C0043,Marketing,E-Learning,490,0
C0044,Legal & Compliance,E-Learning,890,0
C0044,IT & Digitalisation,Seminar,790,0
C0044,HR Management,E-Learning,790,0
C0044,Legal & Compliance,E-Learning,1100,1
C0044,Project Management,Seminar,299,0
C0044,Legal & Compliance,Seminar,490,0
C0044,SAP S/4HANA,Congress,1100,0
C0044,IT & Digitalisation,Workshop,650,0
C0044,Leadership,Workshop,1100,0
C0046,IT & Digitalisation,Seminar,990,0
C0046,HR Management,Workshop,890,0
C0046,Leadership,Workshop,490,0
C0046,Logistics,Seminar,299,0
C0046,Supply Chain,Congress,790,0
C0046,SAP S/4HANA,Congress,790,0
C0046,IT & Digitalisation,Congress,299,0
C0047,Project Management,Seminar,299,0
C0047,HR Management,E-Learning,790,0
C0047,HR Management,Congress,890,0
C0047,Project Management,Workshop,1490,0
C0047,Leadership,Workshop,1290,0
C0047,SAP S/4HANA,Seminar,1290,0
C0047,Logistics,Seminar,1490,0
C0047,Legal & Compliance,Seminar,299,0
C0047,Marketing,Workshop,490,0
C0047,Legal & Compliance,Seminar,490,1
C0047,Logistics,Congress,490,0
C0048,Marketing,E-Learning,1290,0
C0048,Leadership,Seminar,1490,0
C0048,Marketing,Workshop,790,0
C0048,IT & Digitalisation,Workshop,1100,0
C0048,Leadership,E-Learning,1100,0
C0050,Leadership,Seminar,1100,1
C0050,IT & Digitalisation,Congress,1490,0
C0050,Logistics,E-Learning,490,0
C0051,Finance,E-Learning,990,0
C0051,Logistics,Congress,650,0
C0051,Supply Chain,Seminar,990,0
C0051,Leadership,E-Learning,790,0
C0052,Logistics,E-Learning,299,0
C0052,Finance,E-Learning,990,0
C0052,HR Management,Congress,650,0
C0053,Leadership,Congress,1100,0
C0053,Legal & Compliance,E-Learning,650,0
C0054,HR Management,Congress,650,0
C0055,Marketing,Workshop,1290,0
C0055,Finance,Congress,1490,0
C0056,Finance,Workshop,1490,0
C0056,HR Management,Congress,1100,0
C0056,HR Management,Congress,890,0
C0056,Project Management,E-Learning,890,1
C0056,Leadership,Seminar,1290,0
C0056,Project Management,Congress,1100,0
C0056,SAP S/4HANA,E-Learning,490,1
C0056,HR Management,Workshop,299,0
C0056,Leadership,E-Learning,1100,0
C0056,Marketing,E-Learning,490,0
C0056,HR Management,E-Learning,650,1
C0057,Leadership,Congress,1100,0
C0057,SAP S/4HANA,Seminar,1100,0
C0057,IT & Digitalisation,Congress,990,0
C0057,Leadership,Seminar,1490,0
C0057,IT & Digitalisation,E-Learning,650,0
C0057,Leadership,Congress,890,0
C0057,Project Management,Congress,490,0
C0057,Legal & Compliance,Workshop,1290,0
C0058,Leadership,Workshop,1290,0
C0058,Finance,Seminar,990,1
C0059,HR Management,Seminar,990,1
C0059,Leadership,Seminar,1490,1
C0059,Legal & Compliance,Seminar,1290,0
C0059,IT & Digitalisation,Workshop,1490,0
C0059,HR Management,Workshop,490,0
C0059,Leadership,Congress,299,1
C0059,Legal & Compliance,Workshop,1490,0
C0059,IT & Digitalisation,E-Learning,890,0
C0059,Marketing,E-Learning,299,0
C0059,Leadership,E-Learning,490,0
C0059,Finance,E-Learning,650,0
C0060,IT & Digitalisation,E-Learning,1100,0
C0060,Logistics,Seminar,890,0
C0060,IT & Digitalisation,Congress,1490,0
C0060,Marketing,E-Learning,299,1
C0060,Finance,Congress,790,0
C0060,Legal & Compliance,Congress,790,0
C0060,Project Management,Seminar,890,0
C0060,SAP S/4HANA,Seminar,990,0
C0060,Logistics,Workshop,650,0
C0061,Legal & Compliance,Seminar,1100,0
C0061,Supply Chain,Workshop,890,0
C0061,Supply Chain,Congress,890,0
C0061,Supply Chain,E-Learning,1290,0
C0061,Finance,Workshop,1490,0
C0061,Project Management,Congress,650,0
C0064,Finance,Workshop,1490,0
C0064,Marketing,Seminar,790,0
C0067,IT & Digitalisation,Congress,299,0
C0067,Leadership,E-Learning,650,0
C0067,HR Management,E-Learning,1290,1
C0067,Legal & Compliance,Workshop,299,1
C0067,HR Management,E-Learning,790,1
C0067,SAP S/4HANA,Workshop,490,1
C0067,Supply Chain,E-Learning,490,0
C0069,Logistics,Seminar,1490,0
C0069,Project Management,E-Learning,1100,0
C0069,Logistics,E-Learning,790,1
C0069,Project Management,Seminar,1490,0
C0069,Leadership,Seminar,1100,0
C0069,HR Management,Workshop,990,1
C0069,HR Management,E-Learning,490,0
C0069,Supply Chain,Seminar,990,0
C0069,HR Management,E-Learning,1490,0
C0070,Project Management,Congress,490,0
C0070,HR Management,E-Learning,790,0
C0070,Supply Chain,Seminar,990,0
C0071,Finance,Seminar,790,0
C0071,IT & Digitalisation,Seminar,990,0
C0071,Leadership,E-Learning,1100,0
C0071,Legal & Compliance,Workshop,990,0
C0072,SAP S/4HANA,E-Learning,490,0
C0073,SAP S/4HANA,E-Learning,990,0
C0073,Leadership,E-Learning,890,0
C0073,Legal & Compliance,Workshop,650,0
C0073,IT & Digitalisation,Workshop,299,0
C0073,Logistics,Workshop,890,0
C0073,Leadership,Workshop,990,0
C0073,HR Management,Congress,1290,0
C0075,Logistics,Seminar,650,0
C0075,IT & Digitalisation,E-Learning,1290,0
C0075,Logistics,Congress,1490,0
C0077,Project Management,Workshop,1490,1
C0077,SAP S/4HANA,Seminar,890,0
C0077,Legal & Compliance,Congress,890,1
C0078,Leadership,Workshop,650,0
C0078,Leadership,E-Learning,990,0
C0078,SAP S/4HANA,E-Learning,890,0
C0078,Project Management,E-Learning,1490,0
C0078,Leadership,Congress,650,1
C0078,Legal & Compliance,Seminar,990,1
C0079,Logistics,Seminar,490,0
C0079,Marketing,Workshop,1490,0
C0079,Marketing,Seminar,650,0
C0079,Leadership,Workshop,1290,0
C0079,Project Management,Congress,650,0
C0079,SAP S/4HANA,Seminar,490,1
C0079,Finance,Congress,650,0
C0079,Supply Chain,E-Learning,1490,1
C0079,Leadership,E-Learning,790,0
C0079,Project Management,E-Learning,1490,0
C0079,SAP S/4HANA,Congress,650,0
C0080,Logistics,Seminar,299,0
C0080,HR Management,E-Learning,790,0
C0080,Logistics,Seminar,1290,0
C0080,Finance,Workshop,790,0
C0080,Finance,Workshop,490,0
C0080,Project Management,Workshop,1100,0
C0080,Legal & Compliance,Congress,990,0
C0080,IT & Digitalisation,E-Learning,990,0
C0080,Project Management,E-Learning,1490,0
C0080,IT & Digitalisation,Congress,1290,0
C0081,Project Management,Seminar,299,1
C0082,Supply Chain,Congress,990,0
C0082,Supply Chain,Congress,1290,0
C0082,Legal & Compliance,E-Learning,1290,0
C0082,Leadership,Workshop,1490,0
C0084,Legal & Compliance,Workshop,890,0
C0084,Leadership,Workshop,650,0
C0084,IT & Digitalisation,Workshop,990,0
C0084,Marketing,Seminar,1490,1
C0084,IT & Digitalisation,E-Learning,490,0
C0084,SAP S/4HANA,Workshop,1490,0
C0085,Project Management,Seminar,1100,0
C0085,IT & Digitalisation,E-Learning,650,0
C0085,Logistics,Workshop,1490,0
C0085,HR Management,Seminar,650,0
C0085,Legal & Compliance,Workshop,650,0
C0085,IT & Digitalisation,E-Learning,650,0
C0085,Logistics,E-Learning,990,0
C0085,Logistics,E-Learning,1290,0
C0085,IT & Digitalisation,E-Learning,490,0
C0085,Logistics,E-Learning,299,0
C0086,HR Management,Workshop,650,0
C0086,Project Management,Congress,299,0
C0087,IT & Digitalisation,Workshop,650,0
C0087,Supply Chain,Workshop,1490,0
C0087,HR Management,Congress,1490,0
C0087,SAP S/4HANA,E-Learning,1290,0
C0087,IT & Digitalisation,Congress,1290,1
C0087,SAP S/4HANA,E-Learning,890,0
C0087,Supply Chain,Congress,890,1
C0087,Supply Chain,E-Learning,890,0
C0087,Legal & Compliance,E-Learning,1290,0
C0087,SAP S/4HANA,E-Learning,890,0
C0087,Logistics,Workshop,1100,1
C0088,Finance,Seminar,990,0
C0088,Finance,Workshop,790,1
C0089,Project Management,Seminar,790,0
C0089,HR Management,Congress,790,0
C0089,Leadership,Workshop,990,0
C0089,Leadership,Congress,299,0
C0089,Marketing,Workshop,1290,0
C0089,Finance,E-Learning,890,0
C0089,Leadership,Congress,1490,0
C0089,Project Management,Workshop,650,0
C0090,Finance,Seminar,299,0
C0090,Logistics,Seminar,990,1
C0090,Legal & Compliance,Workshop,650,0
C0090,Finance,Congress,490,0
C0090,Project Management,Workshop,890,0
C0090,HR Management,E-Learning,890,0
C0090,Project Management,Workshop,1100,0
C0091,Project Management,Congress,1290,1
C0091,Supply Chain,Seminar,890,0
C0091,Supply Chain,Workshop,890,0
C0091,Finance,Seminar,890,0
C0091,Supply Chain,Seminar,490,0
C0091,Finance,Congress,1100,0
C0091,Leadership,E-Learning,990,0
C0091,Supply Chain,Congress,1290,0
C0091,Legal & Compliance,E-Learning,1100,0
C0091,SAP S/4HANA,Congress,790,0
C0091,SAP S/4HANA,Workshop,1490,0
C0092,HR Management,Congress,1490,0
C0093,Leadership,Congress,1290,0
C0093,SAP S/4HANA,Workshop,299,0
C0093,Project Management,Workshop,1290,0
C0093,SAP S/4HANA,Workshop,890,0
C0094,Supply Chain,Seminar,299,1
C0094,IT & Digitalisation,Seminar,1490,0
C0094,Leadership,Workshop,299,0
C0094,Marketing,Congress,650,0
C0096,SAP S/4HANA,Congress,990,0
C0096,Project Management,Workshop,1490,0
C0096,Supply Chain,Seminar,299,0
C0096,Legal & Compliance,Workshop,1490,0
C0096,Supply Chain,Congress,1290,0
C0096,Project Management,E-Learning,790,0
C0096,HR Management,Workshop,299,0
C0096,Supply Chain,Seminar,490,0
C0096,Legal & Compliance,Seminar,790,1
C0096,Marketing,Workshop,790,0
C0098,Logistics,E-Learning,790,0
C0098,Project Management,Congress,1100,0
C0098,Finance,Seminar,1490,0
C0098,Marketing,Workshop,299,0
C0099,Marketing,Workshop,650,0
C0099,Marketing,Congress,1490,0
C0099,Supply Chain,Congress,890,0
C0099,Legal & Compliance,Seminar,1490,0
C0101,Supply Chain,E-Learning,490,0
C0101,IT & Digitalisation,Seminar,1490,0
C0104,Legal & Compliance,Congress,990,0
C0104,HR Management,Congress,790,0
C0104,Legal & Compliance,Congress,790,1
C0104,Supply Chain,E-Learning,890,0
C0104,Legal & Compliance,E-Learning,890,0
C0104,IT & Digitalisation,Workshop,1290,0
C0104,Legal & Compliance,E-Learning,790,0
C0105,Logistics,Congress,650,0
C0105,Finance,Workshop,890,0
C0105,Supply Chain,E-Learning,790,1
C0105,Logistics,Congress,1290,0
C0105,Finance,Workshop,1290,0
C0105,Project Management,E-Learning,650,0
C0105,SAP S/4HANA,Workshop,650,0
C0105,SAP S/4HANA,Seminar,490,0
C0105,HR Management,Workshop,650,0
C0105,Leadership,Congress,299,0
C0105,SAP S/4HANA,Workshop,990,0
C0106,Legal & Compliance,Seminar,299,0
C0106,HR Management,Seminar,1490,0
C0106,SAP S/4HANA,E-Learning,299,0
C0106,Project Management,Seminar,490,0
C0106,Supply Chain,Congress,1490,1
C0106,IT & Digitalisation,E-Learning,1100,0
C0106,IT & Digitalisation,Workshop,1290,0
C0106,Supply Chain,E-Learning,490,0
C0106,Leadership,Workshop,1100,0
C0106,SAP S/4HANA,Workshop,299,0
C0106,Project Management,Seminar,1290,0
C0108,Supply Chain,Workshop,890,0
C0108,Leadership,E-Learning,1490,0
C0108,Project Management,E-Learning,299,0
C0108,Logistics,Congress,1100,0
C0109,Logistics,Workshop,1490,0
C0109,Marketing,Congress,490,0
C0109,HR Management,Seminar,1100,0
C0110,IT & Digitalisation,Seminar,890,0
C0110,Legal & Compliance,Congress,990,0
C0110,Marketing,Congress,1100,0
C0110,Logistics,E-Learning,790,0
C0110,Leadership,E-Learning,650,0
C0110,Project Management,Workshop,990,0
C0110,Leadership,Seminar,299,0
C0110,Legal & Compliance,E-Learning,890,0
C0110,Project Management,Seminar,650,0
C0110,Legal & Compliance,Workshop,490,0
C0111,Logistics,E-Learning,1100,0
C0111,Finance,Workshop,1100,0
C0112,Marketing,Congress,650,0
C0112,Finance,E-Learning,1290,0
C0112,Leadership,Congress,1100,0
C0112,Marketing,E-Learning,1290,0
C0112,IT & Digitalisation,E-Learning,790,1
C0112,Logistics,Congress,1290,0
C0112,Project Management,E-Learning,299,0
C0112,IT & Digitalisation,Workshop,990,0
C0112,IT & Digitalisation,Workshop,650,0
C0114,Marketing,E-Learning,890,0
C0114,Logistics,Congress,990,1
C0114,Finance,Workshop,990,0
C0114,Logistics,Congress,1490,0
C0114,SAP S/4HANA,Seminar,1290,1
C0114,Legal & Compliance,E-Learning,490,0
C0114,Legal & Compliance,Congress,890,0
C0114,Finance,Congress,1100,1
C0114,Leadership,Workshop,1290,0
C0116,SAP S/4HANA,Seminar,490,0
C0116,IT & Digitalisation,Congress,299,0
C0116,IT & Digitalisation,Workshop,490,0
C0116,Leadership,E-Learning,790,0
C0116,Legal & Compliance,E-Learning,1100,0
C0116,Logistics,Congress,990,0
C0116,Legal & Compliance,Seminar,890,0
C0117,IT & Digitalisation,E-Learning,990,0
C0117,Supply Chain,Workshop,990,1
C0117,Leadership,Workshop,1290,0
C0117,Leadership,E-Learning,299,0
C0117,HR Management,E-Learning,490,0
C0117,Supply Chain,Congress,1490,0
C0117,IT & Digitalisation,Workshop,1290,0
C0118,Marketing,Workshop,299,1
C0118,Legal & Compliance,Workshop,1100,0
C0118,Supply Chain,Congress,890,0
C0118,Logistics,Seminar,1490,1
C0118,IT & Digitalisation,E-Learning,790,0
C0118,Leadership,E-Learning,1290,0
C0118,Logistics,Workshop,1100,1
C0118,IT & Digitalisation,E-Learning,1290,0
C0118,Finance,Seminar,650,0
C0118,Leadership,Congress,890,0
C0118,Project Management,E-Learning,650,1
C0120,Project Management,Workshop,1490,0
C0120,SAP S/4HANA,Congress,1290,0
C0120,Project Management,Congress,990,0
C0121,HR Management,Workshop,650,1
C0122,Marketing,Workshop,1100,0
C0122,Legal & Compliance,Congress,490,0
C0122,Supply Chain,E-Learning,299,0
C0122,Supply Chain,E-Learning,650,1
C0122,Logistics,Workshop,1490,1
C0123,SAP S/4HANA,E-Learning,1490,0
C0123,Legal & Compliance,Congress,1100,0
C0123,Supply Chain,E-Learning,299,0
C0123,Finance,E-Learning,490,0
C0123,Leadership,Congress,790,0
C0124,Logistics,Congress,790,0
C0124,HR Management,E-Learning,1490,1
C0124,Logistics,Congress,990,0
C0124,Finance,E-Learning,1490,0
C0124,Project Management,Workshop,299,0
C0124,Project Management,Congress,790,1
C0124,IT & Digitalisation,Congress,1100,0
C0124,Project Management,E-Learning,1100,0
C0125,Marketing,E-Learning,990,0
C0125,Legal & Compliance,E-Learning,299,1
C0125,Legal & Compliance,E-Learning,490,1
C0125,Supply Chain,Workshop,790,0
C0125,Finance,E-Learning,890,0
C0125,SAP S/4HANA,Congress,1290,0
C0126,Legal & Compliance,Seminar,490,0
C0126,Legal & Compliance,Workshop,299,0
C0126,Supply Chain,Congress,890,0
C0128,Project Management,Seminar,1100,0
C0128,Supply Chain,Workshop,490,0
C0128,HR Management,Congress,1290,0
C0128,Project Management,Congress,1490,0
C0128,HR Management,Seminar,990,0
C0128,Marketing,Congress,1290,0
C0128,Supply Chain,Workshop,490,0
C0129,Finance,Congress,1100,0
C0129,Project Management,Seminar,1490,0
C0129,Logistics,Congress,1290,0
C0129,Supply Chain,Congress,1100,0
C0129,Supply Chain,Seminar,490,1
C0129,Leadership,Workshop,990,0
C0129,IT & Digitalisation,Congress,790,0
C0129,Leadership,Congress,1490,0
C0129,HR Management,E-Learning,790,0
C0130,Supply Chain,Workshop,1100,0
C0130,Supply Chain,Workshop,490,0
C0130,IT & Digitalisation,E-Learning,650,0
C0131,SAP S/4HANA,Congress,1290,0
C0131,HR Management,Seminar,299,1
C0131,Supply Chain,Seminar,299,0
C0131,SAP S/4HANA,E-Learning,1490,0
C0131,Marketing,Workshop,490,0
C0131,Finance,Seminar,890,0
C0131,SAP S/4HANA,Congress,650,0
C0133,HR Management,Congress,490,0
C0133,Leadership,Workshop,299,0
C0133,Project Management,Seminar,299,0
C0133,HR Management,Congress,1290,0
C0133,SAP S/4HANA,E-Learning,650,0
C0133,Project Management,E-Learning,490,0
C0133,IT & Digitalisation,Workshop,890,0
C0133,Finance,Seminar,1290,0
C0134,Legal & Compliance,Congress,990,0
C0134,Finance,Seminar,490,0
C0134,SAP S/4HANA,Seminar,299,0
C0134,Supply Chain,Seminar,1290,0
C0134,Marketing,Congress,650,0
C0134,SAP S/4HANA,Workshop,790,1
C0134,Supply Chain,Workshop,990,0
C0135,Leadership,Seminar,650,0
C0135,SAP S/4HANA,Seminar,1100,0
C0135,Legal & Compliance,E-Learning,890,1
C0135,Leadership,Workshop,299,1
C0135,Supply Chain,E-Learning,890,0
C0135,Legal & Compliance,E-Learning,1290,0
C0135,SAP S/4HANA,Congress,650,0
C0135,Marketing,Seminar,790,0
C0135,HR Management,E-Learning,299,0
C0135,Finance,Seminar,790,0
C0136,Project Management,E-Learning,490,0
C0136,Supply Chain,Workshop,990,0
C0136,Leadership,Seminar,1490,0
C0136,Marketing,Seminar,299,0
C0136,Project Management,Congress,890,0
C0136,IT & Digitalisation,Workshop,990,0
C0136,Legal & Compliance,E-Learning,790,0
C0139,Marketing,Seminar,1490,0
C0139,Supply Chain,Workshop,890,1
C0139,Finance,Seminar,490,0
C0139,Finance,Seminar,790,0
C0139,Project Management,Seminar,790,0
C0139,Marketing,Seminar,890,0
C0140,Legal & Compliance,Congress,490,0
C0140,Leadership,Congress,490,0
C0142,Leadership,E-Learning,490,0
C0142,Leadership,Congress,1290,0
C0142,Leadership,E-Learning,490,0
C0143,Logistics,Workshop,1100,0
C0143,HR Management,Workshop,1100,0
C0143,IT & Digitalisation,Congress,650,0
C0143,Finance,Workshop,650,1
C0143,Logistics,Congress,890,0
C0143,Marketing,Workshop,299,0
C0143,Finance,Workshop,650,0
C0143,Supply Chain,Congress,1490,0
C0144,SAP S/4HANA,Workshop,990,0
C0144,Marketing,E-Learning,650,0
C0144,IT & Digitalisation,Congress,299,0
C0144,HR Management,Workshop,1490,0
C0144,Logistics,Congress,650,0
C0145,SAP S/4HANA,Seminar,790,0
C0145,IT & Digitalisation,Congress,650,0
C0145,Logistics,E-Learning,990,0
C0145,IT & Digitalisation,Congress,790,0
C0145,SAP S/4HANA,E-Learning,650,0
C0145,HR Management,Seminar,299,0
C0145,Logistics,Congress,299,0
C0146,Project Management,E-Learning,650,0
C0146,HR Management,Seminar,650,0
C0146,Leadership,E-Learning,490,0
C0146,Marketing,Seminar,990,0
C0146,IT & Digitalisation,Congress,650,0
C0146,Legal & Compliance,E-Learning,650,0
C0146,Supply Chain,Congress,1100,0
C0146,Finance,Congress,650,0
C0146,Logistics,Workshop,299,0
C0146,Logistics,E-Learning,790,0
C0147,Leadership,Congress,990,0
C0148,Legal & Compliance,Seminar,890,0
